uza,agency,peak_vehicles,apportionment_to_urbanized_area ,per_apport_operator_veh_rev_hrs
"Chattanooga, TN-GA",Chattanooga Area Regional Transportation Authority,64,"$2,149,614 ",92.408%
"Chicago, IL-IN",City of East Chicago,2,"$135,276,088 ",0.063%
"Chicago, IL-IN",Gary Public Transportation Corporation,18,"$135,276,088 ",0.474%
"Chicago, IL-IN",North Township of Lake County ,7,"$135,276,088 ",0.046%
"Chicago, IL-IN",Northwestern Indiana Regional Planning Commission,37,"$135,276,088 ",0.277%
"Cincinnati, OH-KY",Board of  Clermont County Commissioners,7,"$11,248,222 ",3.167%
"Cincinnati, OH-KY",Butler County Regional Transit Authority,16,"$11,248,222 ",5.094%
"Cincinnati, OH-KY",County of Warren,11,"$11,248,222 ",1.924%
"Cincinnati, OH-KY",Transit Authority of Northern Kentucky,90,"$11,248,222 ",19.710%
"Clarksville, TN-KY",City of Clarksville,18,"$1,229,348 ",100.000%
"Cleveland, OH",Laketran,32,"$15,419,675 ",10.022%
"Cleveland, OH",Lorain County,4,"$15,419,675 ",0.228%
"Cleveland, OH",Medina County Public Transit,7,"$15,419,675 ",1.332%
"Cleveland, OH",METRO Regional Transit Authority ,97,"$15,419,675 ",0.159%
"Cleveland, OH",Portage Area Regional Transportation Authority,20,"$15,419,675 ",0.062%
"College Station-Bryan, TX",Brazos Transit District,17,"$1,137,694 ",100.000%
"Colorado Springs, CO",City of Colorado Springs,52,"$4,244,985 ",86.123%
"Colorado Springs, CO",Denver Regional Council of Governments,51,"$4,244,985 ",1.131%
"Colorado Springs, CO",Colorado Department of Transportation,3,"$4,244,985 ",5.823%
"Colorado Springs, CO",Pikes Peak Area Council of Governments,16,"$4,244,985 ",6.923%
"Columbia, SC",Central Midlands Regional Transportation Authority,54,"$3,326,629 ",100.000%
"Columbus, GA-AL",Columbus Consolidated Government,15,"$1,411,762 ",92.782%
"Columbus, GA-AL",Lee-Russell Council of Governments,4,"$1,411,762 ",7.218%
"Columbus, OH",Delaware County Transit Board,21,"$10,393,288 ",3.164%
"Columbus, OH",Lancaster Public Transit System,6,"$10,393,288 ",0.149%
"Columbus, OH","Licking County, Ohio",18,"$10,393,288 ",0.451%
"Columbus, OH",Mid-Ohio Regional Planning Commission,19,"$10,393,288 ",0.615%
"Concord, NC",Cabarrus County ,22,"$1,360,872 ",18.101%
"Concord, NC",City of Concord,8,"$1,360,872 ",57.679%
"Concord, NC",City of Salisbury ,3,"$1,360,872 ",16.395%
"Concord, NC",Rowan County,22,"$1,360,872 ",7.825%
"Concord-Walnut Creek, CA",Central Contra Costa Transit Authority,80,"$8,385,761 ",38.234%
"Concord-Walnut Creek, CA","City of Fairfield, California",28,"$8,385,761 ",0.339%
"Corpus Christi, TX",Corpus Christi Regional Transportation Authority,57,"$3,286,498 ",100.000%
"Dallas-Fort Worth-Arlington, TX",City of Cleburne,2,"$48,651,084 ",0.124%
"Dallas-Fort Worth-Arlington, TX",City of Grand Prairie ,8,"$48,651,084 ",0.242%
"Dallas-Fort Worth-Arlington, TX",North Central Texas Council of Governments,8,"$48,651,084 ",0.035%
"Dallas-Fort Worth-Arlington, TX",Denton County Transportation Authority,31,"$48,651,084 ",0.360%
"Dallas-Fort Worth-Arlington, TX",Public Transit Services,2,"$48,651,084 ",0.108%
"Dallas-Fort Worth-Arlington, TX","SPAN, Incorporated",26,"$48,651,084 ",0.375%
"Dallas-Fort Worth-Arlington, TX",STAR Transit,5,"$48,651,084 ",1.679%
"Davenport, IA-IL",City of Bettendorf,4,"$2,573,827 ",9.692%
"Davenport, IA-IL",City of Davenport,15,"$2,573,827 ",15.245%
"Davenport, IA-IL",East Central Iowa Council of Governments,4,"$2,573,827 ",0.152%
"Davenport, IA-IL",Davenport Public Transportation,1,"$2,573,827 ",6.294%
"Davenport, IA-IL",Iowa Department of Transportation,1,"$2,573,827 ",6.109%
"Davenport, IA-IL",Rock Island County Metropolitan Mass Transit District,47,"$2,573,827 ",61.745%
"Dayton, OH",Greater Dayton Regional Transit Authority,78,"$7,768,746 ",92.893%
"Dayton, OH",Greene County Transit Board,18,"$7,768,746 ",6.970%
"Dayton, OH","Miami County, Ohio ",18,"$7,768,746 ",0.137%
"Daytona Beach-Palm Coast-Port Orange, FL",County of Volusia,62,"$3,394,600 ",86.481%
"Daytona Beach-Palm Coast-Port Orange, FL",Flagler County Public Transportation,20,"$3,394,600 ",13.519%
"Deltona, FL",County of Volusia,62,"$1,475,201 ",100.000%
"Denton-Lewisville, TX",Denton County Transportation Authority,31,"$4,472,438 ",86.906%
"Denver-Aurora, CO",Denver Regional Council of Governments,51,"$32,745,422 ",0.356%
"Denver-Aurora, CO",Colorado Department of Transportation,3,"$32,745,422 ",1.110%
"Des Moines, IA",Des Moines Area Regional Transit Authority,81,"$3,736,888 ",100.000%
"Detroit, MI",Ann Arbor Area Transportation Authority,78,"$22,286,622 ",0.419%
"Durham, NC",City of Durham,43,"$4,106,173 ",49.681%
"Durham, NC",Orange County ,7,"$4,106,173 ",2.176%
"Durham, NC",Research Triangle Regional Public Transportation Authority,50,"$4,106,173 ",15.284%
"Durham, NC",Town of Chapel Hill,74,"$4,106,173 ",32.821%
"Durham, NC",Wake County,38,"$4,106,173 ",0.038%
"El Paso, TX-NM",El Paso County ,17,"$7,158,772 ",1.582%
"El Paso, TX-NM",New Mexico Department of Transportation,50,"$7,158,772 ",0.152%
"El Paso, TX-NM",South Central Regional Transit District,16,"$7,158,772 ",1.619%
"Eugene, OR",Lane Transit District,67,"$3,825,323 ",100.000%
"Evansville, IN",Metropolitan Evansville Transit System,17,"$1,166,859 ",100.000%
"Fargo, ND-MN",City of Fargo,25,"$1,546,789 ",64.042%
"Fargo, ND-MN",City of Moorhead,8,"$1,546,789 ",25.540%
"Fargo, ND-MN",Fargo Park District ,22,"$1,546,789 ",10.418%
"Fayetteville, NC",City of Fayetteville,18,"$2,035,830 ",77.675%
"Fayetteville, NC",Cumberland County,12,"$2,035,830 ",7.483%
"Fayetteville, NC",Hoke County,10,"$2,035,830 ",14.409%
"Fayetteville, NC",Research Triangle Regional Public Transportation Authority,50,"$2,035,830 ",0.434%
"Fayetteville-Springdale-Rogers, AR-MO",Ozark Regional Transit,12,"$1,664,612 ",49.505%
"Fayetteville-Springdale-Rogers, AR-MO","University of Arkansas, Fayetteville",19,"$1,664,612 ",50.495%
"Flint, MI",Mass Transportation Authority ,91,"$3,404,744 ",98.880%
"Fort Collins, CO",City of Fort Collins,36,"$2,331,260 ",79.723%
"Fort Collins, CO","City of Loveland, Colorado",6,"$2,331,260 ",14.180%
"Fort Collins, CO",Denver Regional Council of Governments,51,"$2,331,260 ",0.463%
"Fort Collins, CO",North Front Range Transportation and Air Quality Planning Council,32,"$2,331,260 ",5.633%
"Fort Wayne, IN",Fort Wayne Public Transportation Corporation,25,"$1,846,793 ",100.000%
"Gainesville, FL","City of Gainesville, FL",99,"$2,545,363 ",100.000%
"Green Bay, WI",City of Green Bay,15,"$1,237,104 ",89.220%
"Green Bay, WI",Oneida Tribe of Indians of Wisconsin,9,"$1,237,104 ",10.780%
"Greensboro, NC",City of Greensboro ,41,"$2,925,492 ",88.411%
"Greensboro, NC",Guilford County ,21,"$2,925,492 ",3.174%
"Greensboro, NC",Piedmont Authority for Regional Transportation,23,"$2,925,492 ",8.415%
"Greenville, SC",Greenville Transit Authority,17,"$1,591,786 ",100.000%
"Gulfport-Biloxi, MS",MS Coast Transportation Authority,16,"$1,421,377 ",100.000%
"Harrisburg, PA",Central Pennsylvania Transportation Authority,46,"$3,641,281 ",14.755%
"Harrisburg, PA",Cumberland Dauphin-Harrisburg Transit Authority,67,"$3,641,281 ",82.629%
"Hartford, CT",Estuary Transit District,9,"$13,368,137 ",0.372%
"Hartford, CT",Middletown Transit District,7,"$13,368,137 ",2.613%
"Hartford, CT",Windham Region Transit District,6,"$13,368,137 ",0.556%
"Hickory, NC",Western Piedmont Regional Transit Authority ,10,"$903,882 ",100.000%
"Houston, TX","Fort Bend County, Texas",16,"$47,528,673 ",1.337%
"Houston, TX",Harris County,16,"$47,528,673 ",1.496%
"Huntington, WV-KY-OH",City of Ashland,6,"$1,277,862 ",18.728%
"Huntington, WV-KY-OH",Lawrence County Port Authority,7,"$1,277,862 ",12.707%
"Huntington, WV-KY-OH",The Tri-State Transit Authority,23,"$1,277,862 ",68.565%
"Huntsville, AL","City of Huntsville, Alabama",16,"$1,535,491 ",100.000%
"Indianapolis, IN",Indianapolis Public Transportation Corporation,3,"$9,980,336 ",2.296%
"Indianapolis, IN",Central Indiana Regional Transportation Authority ,2,"$9,980,336 ",3.158%
"Indianapolis, IN",Hamilton County,15,"$9,980,336 ",2.151%
"Indianapolis, IN",Indiana Department of Transportation,3,"$9,980,336 ",5.295%
"Indio-Palm Desert-Palm Springs, CA",SunLine Transit Agency,60,"$3,045,582 ",94.315%
"Jackson, MS","City of Jackson, MS",14,"$1,444,869 ",100.000%
"Jacksonville, FL","City of Gainesville, FL",99,"$9,187,234 ",0.009%
"Kalamazoo, MI",Central County Transportation Authority,25,"$1,539,559 ",99.659%
"Kansas City, MO-KS",City of Bonner Springs,1,"$9,645,721 ",0.226%
"Kansas City, MO-KS",City of Independence,7,"$9,645,721 ",3.045%
"Kansas City, MO-KS",Johnson County Kansas,34,"$9,645,721 ",11.552%
"Kansas City, MO-KS","Unified Government of Wyandotte County and Kansas City, KS",10,"$9,645,721 ",5.176%
"Kennewick-Richland-Pasco, WA",Ben Franklin Transit,51,"$3,755,069 ",100.000%
"Killeen, TX",Hill Country Transit District,11,"$1,236,757 ",100.000%
"Knoxville, TN",City of Knoxville,51,"$3,534,133 ",75.305%
"Knoxville, TN","East Tennessee Human Resource Agency, Inc.",5,"$3,534,133 ",10.632%
"Knoxville, TN",Knoxville-Knox County Community Action Committee,30,"$3,534,133 ",14.063%
"Lafayette, LA",Lafayette City-Parish Consolidated Government,11,"$1,270,945 ",93.076%
"Lafayette, LA",Iberia Parish Government,3,"$1,270,945 ",3.461%
"Lafayette, LA",Tangipahoa Parish Council,3,"$1,270,945 ",3.462%
"Lake Tahoe Region, CA-NV",County of Placer,21,"$1,578,556 ",68.501%
"Lake Tahoe Region, CA-NV",Tahoe Transportation District,10,"$1,578,556 ",31.499%
"Lakeland, FL","Florida Department of Transportation, District 1 Office",28,"$1,681,483 ",0.426%
"Lakeland, FL",Lakeland Area Mass Transit District ,41,"$1,681,483 ",98.408%
"Lancaster-Manheim, PA",South Central Transit Authority,75,"$4,642,375 ",92.330%
"Lansing, MI",Capital Area Transportation Authority,89,"$3,323,411 ",97.930%
"Laredo, TX","Laredo Transit Management, Inc.",37,"$1,938,499 ",100.000%
"Las Vegas-Henderson-Paradise, NV",Nevada Department of Transportation,7,"$22,278,044 ",0.045%
"Lexington-Fayette, KY",Lexington Transit Authority,49,"$2,752,732 ",100.000%
"Lincoln, NE",City of Lincoln,56,"$2,077,846 ",96.923%
"Lincoln, NE",Nebraska Department of Transportation ,47,"$2,077,846 ",2.245%
"Lincoln, NE",Ponca Tribe of Nebraska,24,"$2,077,846 ",0.832%
"Little Rock, AR",Rock Region Metropolitan Transit Authority,34,"$2,983,120 ",87.075%
"Livermore-Pleasanton-Dublin, CA",Central Contra Costa Transit Authority,80,"$3,201,966 ",7.692%
"Livermore-Pleasanton-Dublin, CA",Livermore / Amador Valley Transit Authority,47,"$3,201,966 ",48.444%
"Livermore-Pleasanton-Dublin, CA",Stanislaus Regional Transit Authority,70,"$3,201,966 ",2.652%
"Los Angeles-Long Beach-Anaheim, CA",Anaheim Transportation Network,38,"$156,606,076 ",0.868%
"Los Angeles-Long Beach-Anaheim, CA",City of Agoura Hills,3,"$156,606,076 ",0.009%
"Los Angeles-Long Beach-Anaheim, CA",City of Alhambra,8,"$156,606,076 ",0.195%
"Los Angeles-Long Beach-Anaheim, CA",City of Arcadia,6,"$156,606,076 ",0.157%
"Los Angeles-Long Beach-Anaheim, CA",City of Artesia,5,"$156,606,076 ",0.002%
"Los Angeles-Long Beach-Anaheim, CA",City of Azusa,6,"$156,606,076 ",0.049%
"Los Angeles-Long Beach-Anaheim, CA",City of Baldwin Park,6,"$156,606,076 ",0.126%
"Los Angeles-Long Beach-Anaheim, CA",City of Bell,1,"$156,606,076 ",0.039%
"Los Angeles-Long Beach-Anaheim, CA",City of Bell Gardens,3,"$156,606,076 ",0.084%
"Los Angeles-Long Beach-Anaheim, CA",City of Bellflower,2,"$156,606,076 ",0.044%
"Los Angeles-Long Beach-Anaheim, CA",City of Beverly Hills,4,"$156,606,076 ",0.013%
"Los Angeles-Long Beach-Anaheim, CA",City of Burbank,12,"$156,606,076 ",0.176%
"Los Angeles-Long Beach-Anaheim, CA",City of Calabasas,13,"$156,606,076 ",0.083%
"Los Angeles-Long Beach-Anaheim, CA",City of Carson,4,"$156,606,076 ",0.035%
"Los Angeles-Long Beach-Anaheim, CA",City of Cerritos,6,"$156,606,076 ",0.071%
"Los Angeles-Long Beach-Anaheim, CA",City of Claremont,22,"$156,606,076 ",0.015%
"Los Angeles-Long Beach-Anaheim, CA",City of Commerce,10,"$156,606,076 ",0.286%
"Los Angeles-Long Beach-Anaheim, CA",City of Compton  ,5,"$156,606,076 ",0.111%
"Los Angeles-Long Beach-Anaheim, CA",City of Covina,5,"$156,606,076 ",0.035%
"Los Angeles-Long Beach-Anaheim, CA",City of Cudahy,1,"$156,606,076 ",0.028%
"Los Angeles-Long Beach-Anaheim, CA",City of Culver City,37,"$156,606,076 ",0.860%
"Los Angeles-Long Beach-Anaheim, CA",City of Downey,7,"$156,606,076 ",0.099%
"Los Angeles-Long Beach-Anaheim, CA",City of El Monte ,7,"$156,606,076 ",0.207%
"Los Angeles-Long Beach-Anaheim, CA",City of Gardena,24,"$156,606,076 ",0.624%
"Los Angeles-Long Beach-Anaheim, CA",City of Glendale,35,"$156,606,076 ",0.710%
"Los Angeles-Long Beach-Anaheim, CA",City of Glendora,4,"$156,606,076 ",0.074%
"Los Angeles-Long Beach-Anaheim, CA",City of Huntington Park,5,"$156,606,076 ",0.130%
"Los Angeles-Long Beach-Anaheim, CA",City of Inglewood,1,"$156,606,076 ",0.049%
"Los Angeles-Long Beach-Anaheim, CA",City of La Mirada ,6,"$156,606,076 ",0.035%
"Los Angeles-Long Beach-Anaheim, CA",City of Lakewood ,12,"$156,606,076 ",0.040%
"Los Angeles-Long Beach-Anaheim, CA",City of Lynwood,4,"$156,606,076 ",0.096%
"Los Angeles-Long Beach-Anaheim, CA",City of Malibu,2,"$156,606,076 ",0.002%
"Los Angeles-Long Beach-Anaheim, CA",City of Manhattan Beach ,3,"$156,606,076 ",0.024%
"Los Angeles-Long Beach-Anaheim, CA",City of Maywood,1,"$156,606,076 ",0.028%
"Los Angeles-Long Beach-Anaheim, CA",City of Monrovia,4,"$156,606,076 ",0.031%
"Los Angeles-Long Beach-Anaheim, CA",City of Montebello,42,"$156,606,076 ",1.124%
"Los Angeles-Long Beach-Anaheim, CA",City of Monterey Park,4,"$156,606,076 ",0.013%
"Los Angeles-Long Beach-Anaheim, CA",City of Norwalk ,24,"$156,606,076 ",0.624%
"Los Angeles-Long Beach-Anaheim, CA",City of Pasadena,24,"$156,606,076 ",0.556%
"Los Angeles-Long Beach-Anaheim, CA",City of Pico Rivera,1,"$156,606,076 ",0.007%
"Los Angeles-Long Beach-Anaheim, CA",City of Redondo Beach,14,"$156,606,076 ",0.265%
"Los Angeles-Long Beach-Anaheim, CA",City of Rosemead,4,"$156,606,076 ",0.094%
"Los Angeles-Long Beach-Anaheim, CA",City of Santa Fe Springs,2,"$156,606,076 ",0.014%
"Los Angeles-Long Beach-Anaheim, CA",City of South Gate,6,"$156,606,076 ",0.118%
"Los Angeles-Long Beach-Anaheim, CA",City of South Pasadena,6,"$156,606,076 ",0.019%
"Los Angeles-Long Beach-Anaheim, CA",City of Torrance,38,"$156,606,076 ",0.784%
"Los Angeles-Long Beach-Anaheim, CA",City of West Covina,4,"$156,606,076 ",0.106%
"Los Angeles-Long Beach-Anaheim, CA",City of West Hollywood,4,"$156,606,076 ",0.114%
"Los Angeles-Long Beach-Anaheim, CA",City of Whittier,12,"$156,606,076 ",0.111%
"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County Department of Public Works,37,"$156,606,076 ",0.612%
"Los Angeles-Long Beach-Anaheim, CA",Palos Verdes Peninsula Transit Authority,21,"$156,606,076 ",0.107%
"Los Angeles-Long Beach-Anaheim, CA",Pomona Valley Transportation Authority,27,"$156,606,076 ",0.189%
"Los Angeles-Long Beach-Anaheim, CA",San Bernardino County Transportation Authority,57,"$156,606,076 ",0.005%
"Louisville/Jefferson County, KY-IN",Kentuckiana Regional Planning and Development Agency,30,"$7,413,500 ",1.303%
"Louisville/Jefferson County, KY-IN",Kentucky Transportation Cabinet,36,"$7,413,500 ",2.335%
"Lubbock, TX",City of Lubbock,60,"$1,920,935 ",100.000%
"Madison, WI",City of Stoughton,6,"$4,230,161 ",2.355%
"McAllen, TX",City of McAllen ,12,"$4,025,678 ",40.063%
"McAllen, TX",Lower Rio Grande Valley Development Council,29,"$4,025,678 ",36.549%
"McAllen, TX",South Texas College,2,"$4,025,678 ",2.630%
"McAllen, TX",University of Texas Rio Grande Valley,19,"$4,025,678 ",20.758%
"McKinney-Frisco, TX",City of McKinney,16,"$2,279,243 ",82.159%
"McKinney-Frisco, TX",Denton County Transportation Authority,31,"$2,279,243 ",17.841%
"Memphis, TN-MS-AR",City of Memphis,79,"$5,699,300 ",95.961%
"Miami-Fort Lauderdale, FL",City of Coconut Creek,4,"$72,533,360 ",0.201%
"Miami-Fort Lauderdale, FL",City of Coral Springs,2,"$72,533,360 ",0.105%
"Miami-Fort Lauderdale, FL",City of Dania Beach,2,"$72,533,360 ",0.086%
"Miami-Fort Lauderdale, FL",City of Deerfield Beach,2,"$72,533,360 ",0.073%
"Miami-Fort Lauderdale, FL",City of Fort Lauderdale,10,"$72,533,360 ",0.271%
"Miami-Fort Lauderdale, FL",City of Hallandale Beach,5,"$72,533,360 ",0.306%
"Miami-Fort Lauderdale, FL",City of Lauderdale Lakes,2,"$72,533,360 ",0.094%
"Miami-Fort Lauderdale, FL",City of Lauderhill,7,"$72,533,360 ",0.315%
"Miami-Fort Lauderdale, FL",City of Lighthouse Point,1,"$72,533,360 ",0.024%
"Miami-Fort Lauderdale, FL",City of Margate,3,"$72,533,360 ",0.156%
"Miami-Fort Lauderdale, FL",City of Miramar ,4,"$72,533,360 ",0.050%
"Miami-Fort Lauderdale, FL",City of Pembroke Pines,7,"$72,533,360 ",0.312%
"Miami-Fort Lauderdale, FL",City of Pompano Beach,4,"$72,533,360 ",0.129%
"Miami-Fort Lauderdale, FL",City of Tamarac,2,"$72,533,360 ",0.061%
"Miami-Fort Lauderdale, FL",South Florida Regional Transportation Authority,2,"$72,533,360 ",0.204%
"Miami-Fort Lauderdale, FL",Town of Davie,6,"$72,533,360 ",0.220%
"Miami-Fort Lauderdale, FL",Town of Hillsboro Beach,1,"$72,533,360 ",0.022%
"Miami-Fort Lauderdale, FL",Town of Lauderdale-By-The-Sea,1,"$72,533,360 ",0.041%
"Milwaukee, WI","City of Racine, Wisconsin",32,"$11,946,109 ",0.300%
"Milwaukee, WI",City of Waukesha ,26,"$11,946,109 ",4.219%
"Milwaukee, WI",County of Washington,8,"$11,946,109 ",1.034%
"Milwaukee, WI",Ozaukee County ,7,"$11,946,109 ",3.225%
"Minneapolis-St. Paul, MN",City of Maple Grove,9,"$32,382,054 ",0.399%
"Minneapolis-St. Paul, MN",City of Plymouth,12,"$32,382,054 ",0.754%
"Minneapolis-St. Paul, MN",Metropolitan Council,58,"$32,382,054 ",40.422%
